videoId,publishedAt,authorDisplayName,textDisplay
wYa0xBh3FSE,2023-07-09,Wassim,Deze 2 partijen leiders zijn vriendelijke mensen alle respect voor .  Maar mijn persoonlijke mening denk ik dat ze niet instaat zijn om deze crises oplossen.  Asiel migratie crisis. Woon crisis . Boeren crisis. Inflatie etc      Welke partijen het wel kunnen geen idee maar zelf gok ik op partij BBB om die een serieuze kans te geven mechien een samenwerking met Baudet of Wilders
4SR37IrbA6c,2023-07-09,j.,Links is altijd al gevaarlijk geweest!
4SR37IrbA6c,2023-07-09,Duranium,Denk na over titels van je filmpje
4SR37IrbA6c,2023-07-09,Rainbow Dash,Kijk hem staat nep alpha'tje
wYa0xBh3FSE,2023-07-10,Jaap Van hier,Totaal onbetrouwbaar deze partijtjes recentelijk nog ingestemd om ons pensioen weg te geven
wYa0xBh3FSE,2023-07-10,Andre Schenk,Ik hoop van harte dat Nederland hier niet in meegaat! Dit wordt erger dan dat we nu hebben gehad voorspel ik! 😮
wYa0xBh3FSE,2023-07-10,Henny Verheij,"Zijn we mooi klaar mee zeg, met deze twee partijen 🙄🥱"
wYa0xBh3FSE,2023-07-10,Beau Fester,"Attje & Jesse willen wij niet hebben, moeten wij zeker niet hebben in een nieuwe coalitie."
wYa0xBh3FSE,2023-07-10,Hessel,"Als deze 2 partijen samen gaan , dan worden ze een compleet ongeloofwaardige partij die vis noch vlees is"
wYa0xBh3FSE,2023-07-10,Freistaat Bayern,Alle twee partijen deugen niet groene huigelaars!
wYa0xBh3FSE,2023-07-10,ir0nbark31,Heel transparant weer...slinkse mensen: ga ik niks over zeggen
wYa0xBh3FSE,2023-07-10,Menno Trienen,En nog steeds stem ik nog steeds niet op die 2 partijen niet onafhankelijk of in een fusie. Nooit niet
wYa0xBh3FSE,2023-07-10,Marinus Antonius,Nu Jesse en Jetten nog opzouten asap.
wYa0xBh3FSE,2023-07-10,TreesByCees,Klaver wordt lijsttrekker en het wordt een flop!
wYa0xBh3FSE,2023-07-10,Jona Bee,Nooit stem ik op van der plas never nooit
wYa0xBh3FSE,2023-07-10,Neferu Neferinthe,Joop den Uyl draait zich om in zijn graf
wYa0xBh3FSE,2023-07-10,Agnes Van Den Dop,Als je precies naar het stem gedrag op de moties heb gekeken is zelfs Omzigt niet te vertrouwen.
wYa0xBh3FSE,2023-07-10,Tjongejonge Man,Klaver durft niet toe te geven dat hij met zijn gezin naar een warme bestemming vliegen? Staat ie voor aap natuurlijk want het klimaat toch.
wYa0xBh3FSE,2023-07-10,DJWezzyK,BBB staat toch ook gewoon voor Build Back Better? Gewoon FvD of PVV of BvNL stemmen😎👌
wYa0xBh3FSE,2023-07-10,Anjanie Singh,is het mogelijk dat twee partijen 1 lijsttrekker kan worden? PvdA en GroenLinks willen 1 lijsttrekker worden mag dat of kan dat?
wYa0xBh3FSE,2023-07-10,Dick Beany,Leuk! Klunsje Klaver en Piep Kuikentje zien het als verliefd stel helemaal zitten samen. Wordt geen lange verkering vermoed ik.
wYa0xBh3FSE,2023-07-10,Mcp,"de trollen tieren weer weelderig, en de comedie gaat voort.Met van Rukkum op de achtergrond."
wYa0xBh3FSE,2023-07-10,x x,Carloina komt zo 🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜
wYa0xBh3FSE,2023-07-10,Ayrton senna,"Klaver gevaarlijk kereltje, zeg dat je de oorlog steunt, en alle boeren WEG, en alles vol bouwen met windmolens en zonneparken (dan liever over rechts) met kernenergie gelukkig🙏🏼"
4SR37IrbA6c,2023-07-10,Paul Van Amersfoort,Maffia Tokkie.  Opsluiten!!
wYa0xBh3FSE,2023-07-11,Ennovy,Ik hoop toch echt dat ze NIET de grootste gaan worden.  Elk apart en dan toch samenwerken vind ik een rare truc.  Bovendien heeft mevr Kuiken in de Corona crisis laten zien dat ze zich nogal stellig kan uiten over zaken waar ze totaal geen verstand van heeft.  Nee … niet mijn partij
wYa0xBh3FSE,2023-07-11,BROSHUIS Albert,-  GL en PvdA als één    partij? -  Tegen de    verplintering? -  Dat wordt dus een    handje 'houtmot'.
wYa0xBh3FSE,2023-07-11,Erick van de Moosdijk,Samen maar toch ook weer apart. Als je niet normaal kunt winnen dan verzinnen we wat anders. 🙃🙃koekoek
wYa0xBh3FSE,2023-07-11,H M,"Lopen te zeiken over Rutte, laten ze blij zijn want dat is een kans. Beetje slap om deze houding aan te nemen. En de grootste gaan jullie niet worden."
wYa0xBh3FSE,2023-07-11,Freerun Opa,Klaver heeft een vrouw en kinderen? hoe dan? hij zit vast geplakt aan de zetel in de TK Politiek dier
wYa0xBh3FSE,2023-07-11,Goldy Goldy,De nieuwe mp???? Silvana simons 😂😂😂😂😂😂
