videoId,publishedAt,authorDisplayName,textDisplay
_zYkiBYCJwQ,2023-07-10,I Love Allah,Daar sta ik well met Mr president rutte wij ga niet kindred in stik late in oorlog groot respect. Wij allemal weet waroom oorlog is in de lande en wie het voororzakt. Idreen moet helpe mense in oorlog lande. Aarde is van God en jij mag revise vrij opp land.
_zYkiBYCJwQ,2023-07-10,Michel Jansen,Krijgt mevrouw bergkampf straks een klopje op haar schouder van kaag?
_zYkiBYCJwQ,2023-07-10,Goldy Goldy,Zélf optiefen droplul!!!!!!!
_zYkiBYCJwQ,2023-07-10,JapzT,Partenotnotnotnot not not not
_zYkiBYCJwQ,2023-07-10,Liεf Klεiπ Koπijnτjε,wat is het toch een IuI op pootjes
_zYkiBYCJwQ,2023-07-10,Furkan Bozdag,First
_zYkiBYCJwQ,2023-07-10,Jaton,Kutland
_zYkiBYCJwQ,2023-07-10,MikeoVine,Op knkkerreennn
_zYkiBYCJwQ,2023-07-10,idrctbh,Die Paternotte heeft een pet van haar?
_zYkiBYCJwQ,2023-07-10,Berta,Ich werde das auf jeden Fall mit meinen Freunden teilen👄
_zYkiBYCJwQ,2023-07-10,DeGeweldigeBanaan,🤡
MNjCa-qzW7A,2023-07-10,كريم كريم,"De hele kunst en cultuur sector zijn ze al jaren mee bezig om dat ten gronde te richten , vroeger waren er voor toneel verenigingen subsidies alles is nagenoeg weg bezuinigd ! Bah !"
nvk7kfcstQo,2023-07-11,Ria Lameijer,"Paternotte heeft dit zelf veroorzaakt, zo schijnheilig en hypocriete persoon van deze Coalitiepartijen incl. De groot"
nvk7kfcstQo,2023-07-11,Nel Berkheij,Tip voor Paternotte: neem ook ontslag.....
nvk7kfcstQo,2023-07-11,piet vandamme,Vies mannetje die pater.otte..... hij weet heel goed hoe dat zit met het nareizen van gezinsleden terwijl we hier nog geen hut hebben voor onszelf.
nvk7kfcstQo,2023-07-11,Alfistagtv,"Hey, Paternotte zit een keer NIET op zijn telefoon ? Waarom moeten anderen nu wel naar hem luisteren ? De hele dag op je smartphone Paternotte. Minder minder minder. Verder; liefst nooit meer VVD en D66 en CDA en CU etc. En Bergkamp bepaalt even of iemand op een tafeltje mag kloppen. I rest my case."
nvk7kfcstQo,2023-07-11,sasinofus,"rutte kan misschien wel sterk verbaal iemand te woord staan, maar politiek besluitkundig is het aan absolute mislukkeling"
nvk7kfcstQo,2023-07-11,Michael Jacobs,Jammer dat er zoiets als een paternotte bestaat.
nvk7kfcstQo,2023-07-11,Kees Bergacker,Paternotte had de motie van wantrouwen - voorbereid door GL - gewoon gesteund om Rutte uit de politiek te krijgen. Politiek is een bedrijf voor ordinaire straatvechters die zich kunnen voordoen als intellectueel.
nvk7kfcstQo,2023-07-11,RichardV,"Tja, gewoon de verkeerde coalitiepartners gekozen …..4 jaar stilstand en zelfs achteruitgang op meerdere dossiers!"
nvk7kfcstQo,2023-07-11,Hans Middelburg,Pepernoot is een gehersenspoelde weffer 😮
nvk7kfcstQo,2023-07-11,ria lindeman,Pattenotte foei!!!
nvk7kfcstQo,2023-07-11,max trein,Ja Mark daar heb je het linkse mes in je rug.
nvk7kfcstQo,2023-07-11,Lonewolf rider,"Twee verschrikkingen in discussie, pff."
nvk7kfcstQo,2023-07-11,Jimi Bol,Pater Paternotte.. hij weet wel hoe je je leven moet leven..
nvk7kfcstQo,2023-07-11,Delfgaauw Marijke,"Foei, niet klapjes doen hoor."
nvk7kfcstQo,2023-07-11,Liεf Klεiπ Koπijnτjε,Hij kan 100 maal gelijk hebben maar alleen al door die deugdkop van die gast misgun je het 'm
nvk7kfcstQo,2023-07-11,Cor vAvW,Hoeveel broers waren er ?Kain Abel van de rest ben ik de naam kwijt zie ze wel vaak in de 2e kamer ( op de tablet spelen) en soms wakker schrikken omdat ze geschaakt zijn.
nvk7kfcstQo,2023-07-11,una nimous,Lulletje jan is boos omdat hij weet dat hij noooiiiit meer wat te zeggen heeft strax 🤣🤣🤣🤣🤣🤣🥳🥳🥳🥳
nvk7kfcstQo,2023-07-11,Jannie Kuhl,Meneer Rutte.....DERTIEN  jaar te laat .....suffert !!!!
nvk7kfcstQo,2023-07-11,yetty,Rutte  dat gebeurt als jij omgaan of spellen met verkeert mensen  .
