videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
hiV7yAemKbE,2023-11-21,youtube#video,KAFKA over waarom je niet op de PVV maar op FVD moet stemmen!,KAFKA over waarom je niet op de PVV maar op FVD moet stemmen!,KafkaNL,none
GhjVidmEU_Q,2023-11-21,youtube#video,Paniek bij de VVD,,PVVpers,none
ozP92C1AL30,2023-11-21,youtube#video,"Driestrijd VVD, PVV en GroenLinks-PvdA: ‘PVV moeilijk te duiden; links op sommige punten&#39;","Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Gerdi Verbeet, voormalig Kamervoorzitter en ...",BNR,none
VePnkKLBWhE,2023-11-21,youtube#video,Opiniepeilers machtiger dan ooit: &#39;Veel invloed op stemgedrag!&#39;,"Wordt het PVV, VVD, GroenLinks-PvdA of toch NSC? Morgen gaat Nederland naar de stembus, maar opiniepeilers Maurice de ...",Omroep PowNed,none
X4xd3QpVa0Q,2023-11-22,youtube#video,Nederlanders op 1!,,PVVpers,none
LzZrRZwTpoc,2023-11-22,youtube#video,Premier voor iedereen!,,PVVpers,none
P7eDiQEbmx0,2023-11-22,youtube#video,Woningen voor Nederlanders,,PVVpers,none
3nVYplplsL8,2023-11-22,youtube#video,"VVD, PVV en GroenLinks-PvdA gaan nek-aan-nek: &#39;Weet niet of regering met Wilders goed nieuws is&#39;","Dit is een fragment uit BNR's Big Five met presentator Diana Matroos. Te gast is Bas Jacobs, Hoogleraar economie en ...",BNR,none
wVD1FTHNJyo,2023-11-22,youtube#video,"Driestrijd VVD, GroenLinks-PvdA en PVV barst los: wie trekt aan het langste eind?","Met het slotdebat achter de rug is het tijd om te stemmen. De grote vraag is wie de grootste partij wordt, want het lijkt een driestrijd ...",WNL,none
4euaVmHbCRU,2023-11-22,youtube#video,Wij moeten zeggen: je komt er hier niet in!,,PVVpers,none
HfCzrJ_cGDM,2023-11-22,youtube#video,Geert Wilders: “Als PVV de grootste wordt moet je als premier er zijn voor alle Nederlanders” | Op1,Geert Wilders: “Als PVV de grootste wordt moet je als premier er zijn voor alle Nederlanders” Kijk de hele uitzending hier terug: ...,Op1,none
U18Va4X6QJg,2023-11-22,youtube#video,Gideon van Meijeren: Strategisch PVV stemmen is het DOMSTE wat je kunt doen!,Extreem-linkse GEK stormt debat binnen!,KafkaNL,none
