videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
PvwqLI-8Npc,2023-11-01,youtube#video,Baudet (FvD) x Jetten (D66),In het NOS op 3 Verkiezingsprogramma gaan Rob Jetten (D66) en Thierry Baudet (Forum voor Democratie) in gesprek met ...,NOS op 3,none
MKsYxxlQLoo,2023-11-01,youtube#video,Tweede kamer verkiezingen 2023: D66,,Netbeheer Nederland,none
lhOh8Rov04M,2023-11-02,youtube#video,D66 — Stop met haat verspreiden.,Vrijheid van meningsuiting ≠ vrijbrief voor haat verspreiden.,D66,none
eb8ILyOlSg4,2023-11-02,youtube#video,&quot;Wat is non-binair?&quot; Baudet (FVD) CLASHT met Jetten (D66) in debat over LHBTQI+,Het interesseert ons niet wat volwassenen op hun slaapkamer doen. Wij gunnen iedereen al het geluk van de wereld. Maar van ...,Forum voor Democratie,none
n2zSl-m6jQw,2023-11-03,youtube#video,Rob Jetten over debat met Thierry Baudet: &#39;Antidemocratische haatpraat&#39;,"Dit is een fragment uit BNR's Big Five met Art Rooijakkers. Te gast is Rob Jetten, lijsttrekker van D66 - ze hebben het over het ...",BNR,none
PDitTq_P4Kk,2023-11-03,youtube#video,D66 — Nieuwe energie voor Nederland | Campagnespot Tweede Kamerverkiezingen 2023,"De keuzes die we vandaag maken, vormen de toekomst van morgen. Daarom kiezen wij voor goed onderwijs, het klimaat en een ...",D66,none
mnMbNns726s,2023-11-03,youtube#video,D66 staat op 4 zetels in de peilingen,,PVVpers,none
k2v2TyhF_Tg,2023-11-04,youtube#video,Rob Jetten raakt geïrriteerd: &#39;Gekelderde peilingen D66 is geneuzel&#39;,Dit is een fragment uit BNR's Big Five met Art Rooijakkers. Het gaat over politiek. Te gast is Rob Jetten van D66 - ze hebben het ...,BNR,none
P25qMMPqAdA,2023-11-05,youtube#video,Paternotte (D66) haalt uit naar Timmermans: &#39;Medeverantwoordelijk voor rampzalige deal met dictator&#39;,Fractievoorzitter van D66 Jan Paternotte heeft tijdens het debat met de runners-up in WNL Op Zondag stevig uitgehaald naar ...,WNL,none
opr9ey4EQwg,2023-11-05,youtube#video,Rob Jetten (D66) over woningnood én ochtendroutine,Editie NL gaat speeddaten met de meest prominente lijsttrekkers. Zij gaan op 'date' met leden van het RTL Nieuwspanel.,RTL Nieuws,none
NQFG2R_sPGE,2023-11-06,youtube#video,SP&#39;er SLOOPT het hypocriete D66 volledig!,SP'er SLOOPT het hypocriete D66 volledig! Deze video is volledig gemaakt door Politiek inzicht. De opname en de edit!,Politiek Inzicht,none
0TazxIR4xiI,2023-11-07,youtube#video,"BBB, D66 en GroenLinks-PvdA in debat over klimaat - NOS Nederland Kiest | NPO Radio 1","Caroline van der Plas (BBB), Rob Jetten (D66) en Frans Timmermans (GroenLinks-PvdA) debatteren in het radiodebat van de ...",NPO Radio 1,none
3w4TYpJ_rv8,2023-11-07,youtube#video,Wilders SLOOPT Jetten &amp; de rest van D66 volledig! &#39;Er is NIETS meer over van jullie clubje!&#39;,Wilders SLO0PT Jetten & de rest van D66 volledig! 'Er is NIETS meer over van jullie clubje!' Music credits: Keichan - A piano of ...,Politiek Inzicht,none
